# gene_id species_1 position_1 species_2 position_2 direction
23 Melanogaster 530501 Pseudoobscura 156405 1
24 Melanogaster 582121 Pseudoobscura 224381 1
25 Melanogaster 585081 Pseudoobscura 260570 1
26 Melanogaster 620717 Pseudoobscura 274060 1
27 Melanogaster 621530 Pseudoobscura 275034 1
28 Melanogaster 623468 Pseudoobscura 276891 1
133 Melanogaster 4117020 Pseudoobscura 283185 -1
132 Melanogaster 4114800 Pseudoobscura 294692 -1
131 Melanogaster 4113701 Pseudoobscura 296808 -1
130 Melanogaster 4111156 Pseudoobscura 297790 -1
129 Melanogaster 4106113 Pseudoobscura 301681 -1
128 Melanogaster 4104342 Pseudoobscura 309300 -1
127 Melanogaster 4102955 Pseudoobscura 311483 -1
611 Melanogaster 16595136 Pseudoobscura 326856 -1
610 Melanogaster 16593677 Pseudoobscura 330253 -1
39 Melanogaster 1877317 Pseudoobscura 331995 1
40 Melanogaster 1879019 Pseudoobscura 334406 1
41 Melanogaster 1880282 Pseudoobscura 335334 1
42 Melanogaster 1881313 Pseudoobscura 337055 1
43 Melanogaster 1890256 Pseudoobscura 346584 1
44 Melanogaster 1891401 Pseudoobscura 348163 1
45 Melanogaster 1902082 Pseudoobscura 357954 1
46 Melanogaster 1903704 Pseudoobscura 361243 1
47 Melanogaster 1908239 Pseudoobscura 376219 1
48 Melanogaster 1920166 Pseudoobscura 379285 1
49 Melanogaster 1922981 Pseudoobscura 382775 1
272 Melanogaster 7920409 Pseudoobscura 387714 -1
271 Melanogaster 7918517 Pseudoobscura 388808 -1
270 Melanogaster 7912089 Pseudoobscura 391327 -1
269 Melanogaster 7908931 Pseudoobscura 397547 -1
268 Melanogaster 7903704 Pseudoobscura 401744 -1
267 Melanogaster 7901880 Pseudoobscura 407136 -1
266 Melanogaster 7899624 Pseudoobscura 409419 -1
265 Melanogaster 7894031 Pseudoobscura 412897 -1
476 Melanogaster 13288051 Pseudoobscura 415928 1
477 Melanogaster 13294473 Pseudoobscura 423105 1
53 Melanogaster 2078343 Pseudoobscura 426464 -1
52 Melanogaster 2076966 Pseudoobscura 428773 -1
50 Melanogaster 2072413 Pseudoobscura 430038 1
51 Melanogaster 2074795 Pseudoobscura 431199 1
54 Melanogaster 2080610 Pseudoobscura 435724 1
55 Melanogaster 2094234 Pseudoobscura 463990 1
803 Melanogaster 23106003 Pseudoobscura 499856 -1
802 Melanogaster 23096771 Pseudoobscura 509722 -1
801 Melanogaster 23084960 Pseudoobscura 518871 -1
800 Melanogaster 23084672 Pseudoobscura 521978 -1
799 Melanogaster 23082738 Pseudoobscura 523240 -1
798 Melanogaster 23080759 Pseudoobscura 525084 -1
797 Melanogaster 23068301 Pseudoobscura 528387 -1
796 Melanogaster 23036066 Pseudoobscura 545726 -1
795 Melanogaster 23023317 Pseudoobscura 549414 -1
794 Melanogaster 23013495 Pseudoobscura 564514 -1
166 Melanogaster 5664628 Pseudoobscura 566905 1
167 Melanogaster 5666052 Pseudoobscura 569241 1
168 Melanogaster 5670827 Pseudoobscura 574096 1
169 Melanogaster 5672401 Pseudoobscura 575361 1
170 Melanogaster 5673830 Pseudoobscura 576461 1
171 Melanogaster 5683240 Pseudoobscura 585135 1
172 Melanogaster 5685253 Pseudoobscura 589619 1
173 Melanogaster 5690002 Pseudoobscura 594578 1
65 Melanogaster 2694392 Pseudoobscura 596722 -1
64 Melanogaster 2692732 Pseudoobscura 601421 -1
63 Melanogaster 2685580 Pseudoobscura 605788 -1
388 Melanogaster 10905767 Pseudoobscura 634532 1
389 Melanogaster 10923972 Pseudoobscura 646973 1
390 Melanogaster 10927399 Pseudoobscura 651103 1
391 Melanogaster 10930840 Pseudoobscura 665101 1
392 Melanogaster 10964032 Pseudoobscura 686489 1
393 Melanogaster 10967722 Pseudoobscura 691334 1
